Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
220175452,"Stupid TV, Be More Funny: How the Golden Era of The Simpsons Changed Television—and America—Forever",Alan Siegel,"Siegel, Alan",,1538742845,9781538742846,0,4.08,Grand Central Publishing,Hardcover,304,2025,,,2025/12/14,to-read,to-read (#51),to-read,,,,0,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett",60555661,9780060555665,0,4.24,Harper Business,Paperback,623,2006,1949,,2025/12/13,currently-reading,currently-reading (#3),currently-reading,,,,1,0
220161058,Apple in China: The Capture of the World's Greatest Company,Patrick  McGee,"McGee, Patrick",,1668053373,9781668053379,5,4.51,Scribner,Hardcover,448,2025,2025,2025/10/24,2025/06/16,,,read,,,,1,0
122932188,"Government Gangsters: The Deep State, the Truth, and the Battle for Our Democracy",Kash Patel,"Patel, Kash",,9781637588246,9781637588246,2,4.47,Post Hill Press,Kindle Edition,320,2023,,,2025/06/16,,,read,,,,1,0
63251764,Wasteland: The Secret World of Waste and the Urgent Search for a Cleaner Future,Oliver Franklin-Wallis,"Franklin-Wallis, Oliver",,306827115,9780306827112,5,4.45,Grand Central Publishing,Hardcover,392,2023,2023,2025/03/02,2025/01/18,,,read,,,,1,0
60784614,Cobalt Red: How the Blood of the Congo Powers Our Lives,Siddharth Kara,"Kara, Siddharth",,1250284309,9781250284303,0,4.36,St. Martin's Press,Hardcover,288,2023,2023,,2025/01/18,to-read,to-read (#50),to-read,,,,0,0
188543465,The Trading Game: A Confession,Gary  Stevenson,"Stevenson, Gary",,593727215,9780593727218,0,4.14,Crown Currency,Hardcover,352,2024,2024,,2025/01/18,to-read,to-read (#49),to-read,,,,0,0
204927599,Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,"Harari, Yuval Noah",,059373422X,9780593734223,4,4.16,Random House,Hardcover,528,2024,2024,,2025/01/18,,,read,,,,1,0
61327449,"How Big Things Get Done: The Surprising Factors That Determine the Fate of Every Project, from Home Renovations to Space Exploration and Everything In Between",Bent Flyvbjerg,"Flyvbjerg, Bent",Dan Gardner,593239512,9780593239513,0,4.28,Crown Currency,Hardcover,304,2023,2023,,2025/01/18,to-read,to-read (#48),to-read,,,,0,0
3828902,Thinking In Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana Wright,1603580557,9781603580557,0,4.19,Chelsea Green Publishing,Paperback,218,2008,2008,,2025/01/12,to-read,to-read (#47),to-read,,,,0,0
57933306,Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,"Hari, Johann",,593138511,9780593138519,0,4.22,Crown,Hardcover,357,2022,2022,,2025/01/04,to-read,to-read (#46),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,735243344,9780735243347,0,4.12,Knopf,Hardcover,416,2022,2022,,2024/12/30,to-read,to-read (#45),to-read,,,,0,0
55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,525555218,9780525555216,4,4.35,Dutton,Hardcover,304,2021,2021,2022/02/26,2021/07/06,,,read,,,,1,0
125937631,Material World: The Six Raw Materials That Shape Modern Civilization,Ed Conway,"Conway, Ed",Edmund Conway,593534344,9780593534342,5,4.51,Knopf,Hardcover,512,2023,2023,2024/06/15,2024/05/29,,,read,,,,1,0
63079845,Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,"Goggins, David",,154453406X,9781544534060,0,4.4,Lioncrest Publishing,Kindle Edition,312,2022,2022,,2024/04/26,,,read,,,,1,0
7170627,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,9780007250912,9780007250912,0,4.34,Scribner,Hardcover,472,2010,2010,2024/05/28,2016/12/06,,,read,,,,1,0
55591201,Mixed Plate: Chronicles of an All-American Combo – A Hilarious Stand-Up Comedian Memoir of Filipino Heritage and Perseverance,Jo Koy,"Koy, Jo",,62969986,9780062969989,4,4.22,Dey Street Books,Kindle Edition,318,2021,2021,2024/03/01,2024/02/24,,,read,,,,1,0
57697120,"The Mental Game of Trading: A System for Solving Problems with Greed, Fear, Anger, Confidence, and Discipline",Jared Tendler,"Tendler, Jared",,1734030925,9781734030921,3,4.25,JT Press,Kindle Edition,326,2021,,,2024/02/21,,,read,,,,2,0
122765395,Elon Musk,Walter Isaacson,"Isaacson, Walter",,1982181281,9781982181284,5,4.33,Simon & Schuster,Hardcover,688,2023,2023,2024/02/02,2024/01/13,,,read,"Not a big fan of Elon, but Isaacson did an incredible job with this book. ",,,1,0
138505710,Doppelganger: A Trip into the Mirror World,Naomi Klein,"Klein, Naomi",,374610320,9780374610326,0,4.2,"Farrar, Straus and Giroux",Hardcover,416,2023,2023,,2023/09/16,currently-reading,currently-reading (#2),currently-reading,,,,1,0
60321447,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,1982172002,9781982172008,4,4.41,Scribner,Hardcover,431,2022,2022,,2023/06/24,,,read,,,,1,0
63063173,Scaling People: Tactics for Management and Company Building,Claire Hughes Johnson,"Johnson, Claire Hughes",,1953953212,9781953953216,4,4.25,Stripe Press,Hardcover,480,2023,,2023/07/22,2023/06/24,,,read,,,,1,0
25189315,Smoke Gets in Your Eyes & Other Lessons from the Crematory,Caitlin Doughty,"Doughty, Caitlin",,393351904,9780393351903,0,4.22,W. W. Norton & Company,Paperback,254,2015,2014,,2023/06/05,to-read,to-read (#44),to-read,,,,0,0
10910164,"Mud, Sweat and Tears",Bear Grylls,"Grylls, Bear",,190502648X,9781905026487,0,4.16,Transworld Publishers Ltd,Hardcover,352,2011,2011,2022/10/01,2022/09/26,,,read,,,,1,0
61918539,Soul Boom: Why We Need a Spiritual Revolution,Rainn Wilson,"Wilson, Rainn",,306828278,9780306828270,5,3.81,Grand Central Publishing,Hardcover,304,2023,2023,2023/06/03,2023/05/19,,,read,,,,1,0
59696349,Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,"Fadell, Tony",,1787634116,9781787634114,4,4.31,Bantam Press,Paperback,416,2022,,2023/03/27,2023/02/14,,,read,,,,1,0
51700301,The Office: The Untold Story of the Greatest Sitcom of the 2000s: An Oral History,Andy Greene,"Greene, Andy",,1524744972,9781524744977,3,4.14,Dutton Books,Hardcover,464,2020,2020,2023/03/12,2023/02/20,,,read,,,,1,0
42505349,Dapper Dan: Made in Harlem,Daniel R. Day,"Day, Daniel R.",Mikael Awake,525510516,9780525510512,4,4.4,Random House,Hardcover,304,2019,2019,2023/02/20,2022/11/22,,,read,,,,1,0
61273821,Straight Shooter: A Memoir of Second Chances and First Takes,Stephen A. Smith,"Smith, Stephen A.",,1982189495,9781982189495,4,4.13,Gallery/13A,Hardcover,288,2023,2023,2023/02/14,2023/02/13,,,read,,,,1,0
59575954,"Build for Tomorrow: An Action Plan for Embracing Change, Adapting Fast, and Future-Proofing Your Career",Jason  Feifer,"Feifer, Jason",,059323538X,9780593235386,0,3.93,Harmony,Hardcover,272,2022,,,2023/01/23,to-read,to-read (#43),to-read,,,,0,0
43382084,Creativity Code,Marcus du Sautoy,"Sautoy, Marcus du",,8288151,9780008288150,3,3.95,4th Estate,Hardcover,336,2019,2019,2022/09/26,2022/09/05,,,read,This book could've been a tweet thread. Would not recommend unless you absolutely love the cross between art and AI,,,1,0
54968118,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,"Isaacson, Walter",,1982115858,9781982115852,4,4.28,Simon & Schuster,Hardcover,536,2021,2021,2022/08/24,2021/05/03,,,read,,,,1,0
51152447,Caste: The Origins of Our Discontents,Isabel Wilkerson,"Wilkerson, Isabel",,593230256,9780593230251,5,4.52,Random House,Hardcover,544,2020,2020,2022/07/25,2022/03/27,,,read,"I was skeptical about the book, and have seen the huge # of Race related books on the market in the past few years thought this would be another one. <br/><br/>The author does an amazing job explaining how US society is not 'race' impacted but 'Caste' impacted, with the comparisons to Nazi Germany and India are spot on across every segment of their society. This book should be mandatory reading in the US, the same way WWII is mandatory in Germany.",,,1,0
58636930,Tough: My Journey to True Power,Terry Crews,"Crews, Terry",,593329805,9780593329801,4,4.28,Portfolio,Hardcover,288,2022,2022,2022/08/12,2022/05/18,,,read,,,,1,0
52038578,Blood and Oil: Mohammed bin Salman's Ruthless Quest for Global Power,Bradley Hope,"Hope, Bradley",Justin Scheck,306846667,9780306846663,5,4.25,Grand Central Publishing,Hardcover,368,2020,2020,2022/07/20,2022/02/05,,,read,,,,1,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,525512179,9780525512172,4,4.15,Random House,Hardcover,372,2018,2018,2022/07/15,2019/04/23,,,read,,,,1,0
58484901,How to Be Perfect: The Correct Answer to Every Moral Question,Michael Schur,"Schur, Michael",,1982159316,9781982159313,0,4.14,Simon & Schuster,Hardcover,304,2022,2022,,2022/06/24,to-read,to-read (#42),to-read,,,,0,0
56898257,You Can’t Be Serious,Kal Penn,"Penn, Kal",,1982171383,9781982171384,5,4.21,Gallery Books,Hardcover,368,2021,2021,2022/06/23,2022/05/30,,,read,,,,1,0
50489373,Sid Meier's Memoir!: A Life in Computer Games,Sid Meier,"Meier, Sid",,1324005874,9781324005872,4,4.18,W. W. Norton & Company,Hardcover,286,2020,2020,,2022/06/01,,,read,,,,1,0
35074096,"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"Fry, Stephen",,718188721,9780718188726,4,4.26,Michael Joseph,Hardcover,416,2017,2017,2022/06/12,2022/05/31,,,read,Interesting read. Stephen Fry does a great job with the audio book. Would recommend only if someone has interest already in ancient history or mythology.,,,1,0
21856367,"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,147670869X,9781476708690,3,4.12,Simon and Schuster,Hardcover,542,2014,2011,2022/05/26,2022/05/22,,,read,,,,1,0
49784984,Moneyland: Why Thieves and Crooks Now Rule the World and How To Take It Back,Oliver Bullough,"Bullough, Oliver",,1250225205,9781250225207,5,4.18,Macmillan Audio,Audiobook,,2019,2018,2022/05/22,2019/05/03,,,read,"Entertaining, insightful and engaging. ",,,1,0
37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,1328662055,9781328662057,4,4.37,Harper,Hardcover,415,2019,2019,2022/05/19,2022/05/06,,,read,"Refreshing and honest look into the work of Therapy. A variety of personal stories, and does a great job to normalize it.",,,1,0
31670196,"Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",Geoffrey B. West,"West, Geoffrey B.",,1594205582,9781594205583,3,4.11,Penguin Press,Hardcover,481,2017,2017,2022/05/06,2020/06/27,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,9780735211292,9780735211292,4,4.32,Avery,Kindle Edition,319,2018,2018,2022/03/29,2022/03/20,,,read,,,,1,0
57356067,"The Cryptopians: Idealism, Greed, Lies, and the Making of the First Big Cryptocurrency Craze",Laura Shin,"Shin, Laura",,1541763017,9781541763012,4,3.69,PublicAffairs,Hardcover,496,2022,,2022/03/20,2022/02/22,,,read,,,,1,0
58375739,Will,Will  Smith,"Smith, Will",Mark Manson,1984877925,9781984877925,5,4.25,Penguin Press,Hardcover,418,2021,2021,2022/03/06,2021/11/13,,,read,,,,1,0
43868109,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,"Keefe, Patrick Radden",,385545681,9780385545686,5,4.54,Doubleday,Hardcover,535,2021,2021,2022/02/10,2021/09/26,,,read,"Didn't know much about the Opioid crisis, but this book is an incredibly detailed look into the family pulling the strings. Having seen their names in museums, the book adds context as to how the family has so much money. ",,,1,0
56790170,The Premonition: A Pandemic Story,Michael   Lewis,"Lewis, Michael",,393881555,9780393881554,3,4.33,W. W. Norton & Company,Hardcover,304,2021,2021,2021/12/18,2021/07/06,,,read,,,,1,0
55051662,"Genius Makers: The Mavericks Who Brought AI to Google, Facebook, and the World",Cade Metz,"Metz, Cade",,1524742678,9781524742676,4,4.27,Dutton,Hardcover,384,2021,2021,2021/11/11,2021/10/01,,,read,Interesting back story inside the world of AI research.,,,1,0
54998264,"The Cult of We: WeWork, Adam Neumann, and the Great Startup Delusion",Eliot Brown,"Brown, Eliot",Maureen Farrell,593237110,9780593237113,5,4.27,Crown,Hardcover,464,2021,2021,2021/10/17,2021/10/01,,,read,,,,1,0
52199304,"The World for Sale: Money, Power and the Traders Who Barter the Earth’s Resources",Javier Blas,"Blas, Javier",Jack Farchy,1847942660,9781847942661,5,4.33,Random House Business,Paperback,410,2020,2021,2021/10/02,2021/08/29,,,read,"The premise may seem boring, but this book brings to late the crazy power and influence commodity traders have in development + developing world. Would recommend as an entertaining ‘non-tech’ industry bio.",,,1,0
49099937,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hastings, Reed",Erin Meyer,593152387,9780593152386,4,4.27,Random House Large Print,Paperback,464,2020,2020,2021/08/29,2021/07/07,,,read,,,,1,0
54304052,How to Change Everything: The Young Human's Guide to Protecting the Planet and Each Other,Naomi Klein,"Klein, Naomi",Rebecca Stefoff,1534474528,9781534474529,0,3.89,Atheneum Books for Young Readers,Hardcover,336,2021,2021,,2021/07/28,to-read,to-read (#41),to-read,,,,0,0
51022071,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Ronan Farrow,"Farrow, Ronan",,316454133,9780316454131,4,4.4,"Little, Brown and Company",Hardcover,608,2019,2019,2021/07/15,2021/07/13,,,read,,,,1,0
44678031,Yearbook,Seth Rogen,"Rogen, Seth",,1984825402,9781984825407,5,4.15,Crown,Hardcover,260,2021,2021,2021/07/12,2021/07/05,,,read,The audiobook is read by him with cameos by all the other famous folks. Very funny (nsfw) book.,,,1,0
56695159,Amazon Unbound: Jeff Bezos and the Invention of a Global Empire,Brad Stone,"Stone, Brad",,1982132612,9781982132613,4,4.07,Simon & Schuster,Hardcover,496,2021,2021,2021/07/07,2021/06/18,,,read,,,,1,0
13132620,American Icon: Alan Mulally and the Fight to Save Ford Motor Company,Bryce G. Hoffman,"Hoffman, Bryce G.",,307886050,9780307886057,5,4.42,Crown Business,Hardcover,432,2012,2012,2021/06/18,2016/10/28,,,read,"I'm not a big fan of the auto industry, but this was genuinely a fascinating insight into the company. Different to insights into startups or tech companies, it was a unique perspective on a brand I had no opinion on or interest in. <br/><br/>Would recommend for anyone who likes company bio's.",,,1,0
74915,The Wal-Mart Effect: How the World's Most Powerful Company Really Works - and How It's Transforming the American Economy,Charles Fishman,"Fishman, Charles",,143038788,9780143038788,4,3.84,Penguin Books,Paperback,352,2006,2006,,2021/06/06,,,read,,,,1,0
43889703,The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,Gregory Zuckerman,"Zuckerman, Gregory",,241309727,9780241309728,4,4.05,Portfolio Penguin,Paperback,359,2019,2019,2021/05/31,2019/11/11,,,read,Engaging read. I didn't realize Mercer from Rentec was behind Breitbart and Brexit. Interesting to hear about the background and ripple effects of the crazy amount of money they made.,,,1,0
43261127,Tiny Habits: The Small Changes That Change Everything,B.J.  Fogg,"Fogg, B.J.",,358003326,9780358003328,4,4.14,Harvest,Hardcover,320,2020,2019,2021/05/03,2021/03/29,,,read,"I normally don't like the ""self help"" category, as they're just one idea rehashed a bunch of times that aren't practical. This was surprisingly good for the genre, where the author recommends super simple steps to make permanent change. Could have been a tad shorter. Would recommend for everyone to read.",,,1,0
52275335,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,"Gates, Bill",,241448301,9780241448304,5,4.12,Allen Lane,Hardcover,272,2021,2021,2021/03/27,2021/03/05,,,read,This was surprisingly good. Bill lays out a clear state along with our alternatives for reducing carbon emissions. Most options involve step changes in technology for all the verticals that contribute carbon.,,,1,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,1250103509,9781250103505,0,4.05,St. Martin's Press,Hardcover,336,2017,2017,,2017/11/07,,,read,,,,1,0
53138083,"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",Colin Bryar,"Bryar, Colin",Bill Carr,1250267595,9781250267597,0,4.2,St. Martin's Press,Hardcover,304,2021,2021,2021/03/19,2021/02/09,,,read,"Interesting book, but too much Kool-Aid and not enough detail on examples outside of what Colin worked on himself. There was probably lots of activity and discussions outside of the PR FAQ process or the lack of slides that made Amazon successful. ",,,1,0
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,1984878107,9781984878106,0,4.13,Viking Books,Hardcover,307,2021,2021,2021/02/27,2021/02/12,,,read,,,,1,0
50722115,Is This Anything?,Jerry Seinfeld,"Seinfeld, Jerry",,1982112697,9781982112691,0,3.72,Simon & Schuster,Hardcover,480,2020,2020,,2020/08/19,,,read,,,,1,0
55361205,A Promised Land,Barack Obama,"Obama, Barack",,1524763187,9781524763183,5,4.32,Crown,Kindle Edition,768,2020,2020,2021/02/09,2020/12/04,,,read,,,,1,0
49680180,The Book of eSports: The Definitive Guide to Competitive Video Games,William Collis,"Collis, William",,194812257X,9781948122573,4,4.41,RosettaBooks,Hardcover,208,2020,,2021/01/02,2021/01/01,,,read,"Good summary and overview of the esports landscape, but lacks much depth about the relationship between the teams, owners and players. ",,,1,0
38390751,The Infinite Game,Simon Sinek,"Sinek, Simon",,073521350X,9780735213500,4,4.16,Portfolio,Hardcover,251,2019,2017,,2020/07/24,,,read,,,,1,0
43582376,The Body: A Guide for Occupants,Bill Bryson,"Bryson, Bill",,385539304,9780385539302,5,4.31,Doubleday Books,Hardcover,450,2019,2019,2020/11/30,2019/12/12,,,read,This is one of those books that every human should read. It's basically a quick guide to everything that exists in your body.,,,1,0
6565468,The King of Oil: The Secret Lives of Marc Rich,Daniel Ammann,"Ammann, Daniel",,312570740,9780312570743,0,4.19,St. Martin's Press,Hardcover,320,2009,2009,,2020/11/21,to-read,to-read (#40),to-read,,,,0,0
26137012,The Autobiography of Malcolm X,Malcolm X,"X, Malcolm","Alex Haley, M.S. Handler",1101967803,9781101967805,4,4.37,One World,Kindle Edition,528,2015,1965,2019/10/09,2016/11/03,,,read,I... couldn't read the book. I ended up watching the movie. <br/><br/>Movie was good though,,,1,0
44063692,What You Do Is Who You Are: How to Create Your Business Culture,Ben Horowitz,"Horowitz, Ben",Henry Louis Gates Jr.,62871331,9780062871336,4,4,Harper Business,Hardcover,288,2019,2019,2020/09/21,2019/10/09,,,read,,,,1,0
53026600,How I Built This: The Unexpected Paths to Success From the World's Most Inspiring Entrepreneurs,Guy Raz,"Raz, Guy",,152902630X,9781529026306,0,4.17,Pan Macmillan UK,Paperback,320,2020,2020,,2020/09/17,to-read,to-read (#39),to-read,,,,0,0
33517721,The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,"Coyle, Daniel",,804176981,9780804176989,4,4.25,Bantam,Hardcover,304,2018,2017,2020/08/14,2020/07/24,,,read,,,,1,0
721609,Spark: The Revolutionary New Science of Exercise and the Brain,John J. Ratey,"Ratey, John J.",Eric Hagerman,316113506,9780316113502,0,4.13,"Little, Brown Spark",Hardcover,294,2008,2008,,2020/08/03,to-read,to-read (#38),to-read,,,,0,0
34640834,Down Girl: The Logic of Misogyny,Kate Manne,"Manne, Kate",,190604980,9780190604981,4,4.21,Oxford University Press,Hardcover,338,2017,2017,2020/07/26,2020/04/30,,,read,Great book which delivers a direct look into how the patriarchy and misogyny seeps into all aspects of society.,,,1,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,9781501144318,9781501144318,5,4.37,Scribner,Hardcover,368,2017,2017,2020/07/11,2019/08/26,,,read,"This is one of those books everyone in the world should read, regardless of your book preference. Every person sleeps, and should be aware of the crazy impact it has on us.<br/><br/>TLDR - min 7 hours sleep a night for the rest of your life. ",,,1,0
51014619,Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,9781610399500,9781610399500,0,4.22,PublicAffairs,ebook,417,2019,2019,,2020/06/27,to-read,to-read (#37),to-read,,,,0,0
28114529,To Pixar and Beyond: My Unlikely Journey with Steve Jobs to Make Entertainment History,Lawrence Levy,"Levy, Lawrence",,544734149,9780544734142,4,4.24,Houghton Mifflin Harcourt,Hardcover,259,2016,2016,2020/06/25,2020/05/09,,,read,"Interesting book highlighting the financial side to Pixar's success. Useful to read this right after Bob Igers book about Disney, to see the other side of the coin.<br/><br/>I also think it's important to partner with the creativity Pixar book, as it shows that the business side of a company is just as important for success as the creative product.",,,1,0
26535513,Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,"Knaflic, Cole Nussbaumer",,1119002257,9781119002253,0,4.39,Wiley,Paperback,288,2015,2015,,2020/06/26,to-read,to-read (#36),to-read,,,,0,0
44525305,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",Joel Lovell,9780399592096,9780399592096,4,4.4,Random House,Hardcover,272,2019,2019,2020/06/16,2019/12/12,,,read,"Two parts stood out for me in this book:<br/><br/>1. All the acquisitions that Iger led (Marvel, Lucasarts, Pixar, 21st Century Fox)<br/>2. The amount of context switching Iger has to do a on a day-to-day basis considering how many different business units Disney is responsible for. <br/><br/>Nothing in this book talks about how Disney operates as a business, which would also be interesting. Most of the ""Lessons learned"" are quite generic and mainly useful if you're a CEO of a Fortune 500.<br/><br/>Definitely recommended read, but don't expect juicy insights into the inner workings of Disney.",,,1,0
1237300,The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,"Klein, Naomi",,805079831,9780805079838,5,4.29,Metropolitan Books,Hardcover,558,2007,2007,2020/06/09,2020/04/27,,,read,"Wow. It's as if all the chapters in this book are a prequel to what is happening so far in 2020. The world is currently in a state of complete shock, and it will be interesting to see which corporations and governments take advantage to solidify power into their own hands. <br/><br/>Great read. ""No Logo"" by Naomi Klein was my first non-fiction/sociology book just under 20 years ago, and this book reminds why I love the genre. Highly recommended",,,1,0
30759083,"The Spider Network: The Wild Story of a Math Genius, a Gang of Backstabbing Bankers, and One of the Greatest Scams in Financial History",David Enrich,"Enrich, David",,753557495,9780753557495,3,4.07,Custom House/Harper Collins,Hardcover,528,2017,2017,2020/05/12,2020/05/09,,,read,"This was much more boring than anticipated. It's not a fun adventure like Michael Lewis' Flash Boys, this is just about bankers abusing interest rate swaps.",,,1,0
32284263,"Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street",Sheelah Kolhatkar,"Kolhatkar, Sheelah",,812995805,9780812995800,0,4.2,Random House,Hardcover,295,2017,2017,,2020/05/10,to-read,to-read (#35),to-read,,,,0,0
